year,month,temp,ADM2_NAME
2012,Oct,23.79391391,Mpanda Rural
2012,Oct,26.47604154,Mpanda Urban
2012,Oct,26.49097754,Administrative unit not available
2012,Nov,23.57794992,Mlele
2012,Nov,21.17037735,Mpanda Rural
2012,Nov,23.17172129,Mpanda Urban
2012,Nov,24.74866482,Administrative unit not available
2012,Dec,22.56493709,Mlele
2012,Dec,20.67291132,Mpanda Rural
2012,Dec,22.40062017,Mpanda Urban
2012,Dec,24.18304856,Administrative unit not available
2013,Jan,22.54284685,Mlele
2013,Jan,21.32746371,Mpanda Rural
2013,Jan,22.74080182,Mpanda Urban
2013,Jan,24.73101688,Administrative unit not available
2013,Feb,22.94303785,Mlele
2013,Feb,21.61017114,Mpanda Rural
2013,Feb,22.98654577,Mpanda Urban
2013,Feb,25.27923236,Administrative unit not available
2013,Mar,22.4641318,Mlele
2013,Mar,21.20784019,Mpanda Rural
2013,Mar,22.66178911,Mpanda Urban
2013,Mar,24.7536248,Administrative unit not available
2013,Apr,21.73791358,Mlele
2013,Apr,20.69559165,Mpanda Rural
2013,Apr,21.95465712,Mpanda Urban
2013,Apr,24.46920565,Administrative unit not available
2013,May,22.85795632,Mlele
2013,May,21.58500435,Mpanda Rural
2013,May,23.00410341,Mpanda Urban
2013,May,24.92418395,Administrative unit not available
2013,Jun,21.78305216,Mlele
2013,Jun,21.21519791,Mpanda Rural
2013,Jun,22.35465326,Mpanda Urban
2013,Jun,23.58716617,Administrative unit not available
2013,Jul,21.87080624,Mlele
2013,Jul,21.35163084,Mpanda Rural
2013,Jul,22.52054272,Mpanda Urban
2013,Jul,23.20747263,Administrative unit not available
2013,Aug,23.46713796,Mlele
2013,Aug,22.8639747,Mpanda Rural
2013,Aug,24.1159357,Mpanda Urban
2013,Aug,24.09380088,Administrative unit not available
2013,Sep,25.55414969,Mlele
2013,Sep,23.88975727,Mpanda Rural
2013,Sep,26.02815938,Mpanda Urban
2013,Sep,25.68276351,Administrative unit not available
2013,Oct,26.36251089,Mlele
2013,Oct,23.88832671,Mpanda Rural
2013,Oct,26.65309979,Mpanda Urban
2013,Oct,26.41357218,Administrative unit not available
2013,Nov,25.10655211,Mlele
2013,Nov,21.88268962,Mpanda Rural
2013,Nov,24.57987008,Mpanda Urban
2013,Nov,25.44987454,Administrative unit not available
2013,Dec,21.93538996,Mlele
2013,Dec,20.51403216,Mpanda Rural
2013,Dec,22.0610038,Mpanda Urban
2013,Dec,24.03227751,Administrative unit not available
2014,Jan,22.18673437,Mlele
2014,Jan,20.9797017,Mpanda Rural
2014,Jan,22.31937283,Mpanda Urban
2014,Jan,24.57082427,Administrative unit not available
2014,Feb,22.32961855,Mlele
2014,Feb,21.08730283,Mpanda Rural
2014,Feb,22.38208621,Mpanda Urban
2014,Feb,24.81529251,Administrative unit not available
2014,Mar,22.36519659,Mlele
2014,Mar,21.17649153,Mpanda Rural
2014,Mar,22.58488833,Mpanda Urban
2014,Mar,24.67245292,Administrative unit not available
2014,Apr,21.78906528,Mlele
2014,Apr,20.83132767,Mpanda Rural
2014,Apr,22.04579743,Mpanda Urban
2014,Apr,24.40037786,Administrative unit not available
2014,May,23.20805743,Mlele
2014,May,22.14622019,Mpanda Rural
2014,May,23.4818356,Mpanda Urban
2014,May,25.16084871,Administrative unit not available
2014,Jun,22.59415147,Mlele
2014,Jun,21.95873154,Mpanda Rural
2014,Jun,23.10206734,Mpanda Urban
2014,Jun,24.12497454,Administrative unit not available
2014,Jul,22.33949572,Mlele
2014,Jul,21.9250897,Mpanda Rural
2014,Jul,23.01830391,Mpanda Urban
2014,Jul,23.44044829,Administrative unit not available
2014,Aug,24.03358688,Mlele
2014,Aug,23.02279786,Mpanda Rural
2014,Aug,24.58857229,Mpanda Urban
2014,Aug,24.63398565,Administrative unit not available
2014,Sep,25.28978531,Mlele
2014,Sep,23.88894486,Mpanda Rural
2014,Sep,26.00946936,Mpanda Urban
2014,Sep,25.53576974,Administrative unit not available
2014,Oct,25.33112956,Mlele
2014,Oct,23.16828346,Mpanda Rural
2014,Oct,25.60359344,Mpanda Urban
2014,Oct,26.16072203,Administrative unit not available
2014,Nov,25.4570886,Mlele
2014,Nov,22.72503715,Mpanda Rural
2014,Nov,25.30990802,Mpanda Urban
2014,Nov,26.00989463,Administrative unit not available
2014,Dec,22.83350832,Mlele
2014,Dec,21.20536362,Mpanda Rural
2014,Dec,23.04289513,Mpanda Urban
2014,Dec,24.81966102,Administrative unit not available
2015,Jan,22.30976154,Mlele
2015,Jan,21.00119985,Mpanda Rural
2015,Jan,22.28976238,Mpanda Urban
2015,Jan,24.72505054,Administrative unit not available
2015,Feb,23.01406096,Mlele
2015,Feb,21.66534837,Mpanda Rural
2015,Feb,22.90193358,Mpanda Urban
2015,Feb,25.29855835,Administrative unit not available
2015,Mar,23.14726201,Mlele
2015,Mar,21.77437636,Mpanda Rural
2015,Mar,23.0159144,Mpanda Urban
2015,Mar,25.3527573,Administrative unit not available
2015,Apr,21.63263859,Mlele
2015,Apr,20.5279753,Mpanda Rural
2015,Apr,21.83801573,Mpanda Urban
2015,Apr,24.26521457,Administrative unit not available
2015,May,22.33109196,Mlele
2015,May,21.39049567,Mpanda Rural
2015,May,22.8714135,Mpanda Urban
2015,May,25.01188379,Administrative unit not available
2015,Jun,22.59994583,Mlele
2015,Jun,21.64459844,Mpanda Rural
2015,Jun,23.05602059,Mpanda Urban
2015,Jun,24.38494067,Administrative unit not available
2015,Jul,22.53369073,Mlele
2015,Jul,21.94269801,Mpanda Rural
2015,Jul,23.06489291,Mpanda Urban
2015,Jul,23.9475809,Administrative unit not available
2015,Aug,23.68401905,Mlele
2015,Aug,23.06580253,Mpanda Rural
2015,Aug,24.2959674,Mpanda Urban
2015,Aug,24.52274657,Administrative unit not available
2015,Sep,25.95557367,Mlele
2015,Sep,24.96414853,Mpanda Rural
2015,Sep,26.65870742,Mpanda Urban
2015,Sep,26.2147189,Administrative unit not available
2015,Oct,26.44036635,Mlele
2015,Oct,23.72265305,Mpanda Rural
2015,Oct,26.39353,Mpanda Urban
2015,Oct,26.51737942,Administrative unit not available
2015,Nov,22.84726265,Mlele
2015,Nov,21.25111594,Mpanda Rural
2015,Nov,23.09506382,Mpanda Urban
2015,Nov,24.72354689,Administrative unit not available
2015,Dec,22.25301662,Mlele
2015,Dec,20.91135142,Mpanda Rural
2015,Dec,22.39342405,Mpanda Urban
2015,Dec,24.4747766,Administrative unit not available
2016,Jan,22.33257612,Mlele
2016,Jan,21.2960884,Mpanda Rural
2016,Jan,22.52637475,Mpanda Urban
2016,Jan,24.74885178,Administrative unit not available
2016,Feb,23.08536289,Mlele
2016,Feb,22.02986332,Mpanda Rural
2016,Feb,23.33379196,Mpanda Urban
2016,Feb,25.52532209,Administrative unit not available
2016,Mar,23.97936742,Mlele
2016,Mar,22.66965512,Mpanda Rural
2016,Mar,24.08791689,Mpanda Urban
2016,Mar,26.38675873,Administrative unit not available
2016,Apr,22.30901439,Mlele
2016,Apr,21.28436843,Mpanda Rural
2016,Apr,22.57874956,Mpanda Urban
2016,Apr,24.81317147,Administrative unit not available
2016,May,22.04327288,Mlele
2016,May,21.26731355,Mpanda Rural
2016,May,22.5583597,Mpanda Urban
2016,May,24.41272131,Administrative unit not available
2016,Jun,21.87740772,Mlele
2016,Jun,21.33710832,Mpanda Rural
2016,Jun,22.4316501,Mpanda Urban
2016,Jun,23.54288375,Administrative unit not available
2016,Jul,21.68362697,Mlele
2016,Jul,21.30633145,Mpanda Rural
2016,Jul,22.35019537,Mpanda Urban
2016,Jul,22.97223184,Administrative unit not available
2016,Aug,23.34560346,Mlele
2016,Aug,22.91132063,Mpanda Rural
2016,Aug,24.0989576,Mpanda Urban
2016,Aug,24.27493873,Administrative unit not available
2016,Sep,25.06345837,Mlele
2016,Sep,24.31666224,Mpanda Rural
