year,month,temp,ADM2_NAME
2012,Mar,19.08935314,Kalambo
2012,Mar,21.10139887,Sumbawanga Rural
2012,Mar,20.81382146,Nkasi
2012,Mar,17.96924705,Sumbawanga Urban
2012,Mar,25.03624785,Administrative unit not available
2012,Apr,18.39901472,Kalambo
2012,Apr,20.63513544,Sumbawanga Rural
2012,Apr,20.38529586,Nkasi
2012,Apr,17.43377152,Sumbawanga Urban
2012,Apr,24.49266555,Administrative unit not available
2012,May,18.55028131,Kalambo
2012,May,20.73997776,Sumbawanga Rural
2012,May,20.53223198,Nkasi
2012,May,17.4248787,Sumbawanga Urban
2012,May,24.54290445,Administrative unit not available
2012,Jun,17.81094218,Kalambo
2012,Jun,19.56161021,Sumbawanga Rural
2012,Jun,19.91385103,Nkasi
2012,Jun,16.56522258,Sumbawanga Urban
2012,Jun,23.56283568,Administrative unit not available
2012,Jul,17.79089112,Kalambo
2012,Jul,19.21260155,Sumbawanga Rural
2012,Jul,20.11450311,Nkasi
2012,Jul,16.40472257,Sumbawanga Urban
2012,Jul,23.39211061,Administrative unit not available
2012,Aug,19.78061517,Kalambo
2012,Aug,20.97781973,Sumbawanga Rural
2012,Aug,21.62137367,Nkasi
2012,Aug,18.02418718,Sumbawanga Urban
2012,Aug,24.59441563,Administrative unit not available
2012,Sep,21.86646233,Kalambo
2012,Sep,22.95331115,Sumbawanga Rural
2012,Sep,23.55804849,Nkasi
2012,Sep,19.98627801,Sumbawanga Urban
2012,Sep,26.3397528,Administrative unit not available
2012,Oct,22.71170512,Kalambo
2012,Oct,24.34861677,Sumbawanga Rural
2012,Oct,23.85216202,Nkasi
2012,Oct,21.1014389,Sumbawanga Urban
2012,Oct,26.92324991,Administrative unit not available
2012,Nov,20.0666308,Kalambo
2012,Nov,22.4900957,Sumbawanga Rural
2012,Nov,21.19753617,Nkasi
2012,Nov,18.81943453,Sumbawanga Urban
2012,Nov,24.98082884,Administrative unit not available
2012,Dec,19.35610624,Kalambo
2012,Dec,21.48973681,Sumbawanga Rural
2012,Dec,20.63456491,Nkasi
2012,Dec,18.12813943,Sumbawanga Urban
2012,Dec,24.17513218,Administrative unit not available
2013,Jan,19.20378667,Kalambo
2013,Jan,21.0632183,Sumbawanga Rural
2013,Jan,20.93119935,Nkasi
2013,Jan,18.16431741,Sumbawanga Urban
2013,Jan,24.58056717,Administrative unit not available
2013,Feb,19.37875342,Kalambo
