year,month,temp,ward
2011,Feb,19.91230877,Mbozi
2011,Feb,21.36834599,Momba
2011,Feb,21.35521306,Chunya
2011,Feb,18.91514085,Ileje
2011,Feb,22.0920021,Kyela
2011,Feb,17.61481555,Mbeya Urban
2011,Feb,19.11851532,Rungwe
2011,Feb,18.99758834,Tunduma
2011,Feb,24.70954874,Administrative unit not available
2011,Mar,21.78906969,Mbarali
2011,Mar,18.67423945,Mbeya Rural
2011,Mar,20.0095032,Mbozi
2011,Mar,21.46096156,Momba
2011,Mar,21.18010172,Chunya
2011,Mar,19.00861692,Ileje
2011,Mar,21.97710754,Kyela
2011,Mar,17.76468254,Mbeya Urban
2011,Mar,19.15205115,Rungwe
2011,Mar,19.1798174,Tunduma
2011,Mar,24.54797811,Administrative unit not available
2011,Apr,21.16381389,Mbarali
2011,Apr,18.37309264,Mbeya Rural
2011,Apr,19.79209225,Mbozi
2011,Apr,21.16792403,Momba
2011,Apr,20.86787309,Chunya
2011,Apr,18.45221249,Ileje
2011,Apr,21.4147965,Kyela
2011,Apr,17.55320634,Mbeya Urban
2011,Apr,18.39331786,Rungwe
2011,Apr,19.06693487,Tunduma
2011,Apr,24.41250478,Administrative unit not available
2011,May,21.54778621,Mbarali
2011,May,18.31807425,Mbeya Rural
2011,May,19.84703838,Mbozi
2011,May,21.60608646,Momba
2011,May,21.76992252,Chunya
2011,May,17.66145238,Ileje
2011,May,20.5945251,Kyela
2011,May,17.48037432,Mbeya Urban
2011,May,17.62538953,Rungwe
2011,May,18.77563908,Tunduma
2011,May,25.25281091,Administrative unit not available
2011,Jun,20.75445218,Mbarali
2011,Jun,17.4035491,Mbeya Rural
2011,Jun,19.1773057,Mbozi
2011,Jun,20.78729221,Momba
2011,Jun,21.20910677,Chunya
2011,Jun,16.38148351,Ileje
2011,Jun,19.37839266,Kyela
2011,Jun,16.64844918,Mbeya Urban
2011,Jun,16.42483601,Rungwe
2011,Jun,17.87067969,Tunduma
2011,Jun,24.05762239,Administrative unit not available
2011,Jul,19.67081241,Mbarali
2011,Jul,16.42226906,Mbeya Rural
2011,Jul,18.0982847,Mbozi
2011,Jul,19.82671193,Momba
2011,Jul,20.30352602,Chunya
2011,Jul,15.06314695,Ileje
2011,Jul,17.99736883,Kyela
2011,Jul,15.84679114,Mbeya Urban
2011,Jul,15.10637908,Rungwe
2011,Jul,16.70592124,Tunduma
2011,Jul,22.7296506,Administrative unit not available
2011,Aug,21.01043056,Mbarali
2011,Aug,17.61026953,Mbeya Rural
2011,Aug,19.43415286,Mbozi
2011,Aug,21.27381014,Momba
2011,Aug,21.74954113,Chunya
2011,Aug,16.14297181,Ileje
2011,Aug,18.9327712,Kyela
2011,Aug,17.03407313,Mbeya Urban
2011,Aug,16.10524352,Rungwe
2011,Aug,18.03924444,Tunduma
2011,Aug,23.7959013,Administrative unit not available
2011,Sep,22.47781324,Mbarali
2011,Sep,19.4243881,Mbeya Rural
2011,Sep,21.46053665,Mbozi
2011,Sep,23.36341317,Momba
2011,Sep,23.38442801,Chunya
2011,Sep,18.67084294,Ileje
2011,Sep,21.73628997,Kyela
2011,Sep,18.7030703,Mbeya Urban
2011,Sep,18.48796194,Rungwe
2011,Sep,20.33153657,Tunduma
2011,Sep,25.646255,Administrative unit not available
2011,Oct,24.46438754,Mbarali
2011,Oct,20.781893,Mbeya Rural
2011,Oct,22.90915738,Mbozi
2011,Oct,24.75641257,Momba
2011,Oct,24.94083946,Chunya
2011,Oct,20.41139505,Ileje
2011,Oct,23.27065425,Kyela
2011,Oct,19.88262099,Mbeya Urban
2011,Oct,19.82699774,Rungwe
2011,Oct,22.0072377,Tunduma
2011,Oct,27.09937435,Administrative unit not available
2011,Nov,23.92986461,Mbarali
2011,Nov,20.02092074,Mbeya Rural
2011,Nov,21.7141063,Mbozi
2011,Nov,23.47018036,Momba
2011,Nov,23.05231152,Chunya
2011,Nov,20.46516752,Ileje
2011,Nov,23.57999043,Kyela
2011,Nov,19.22190893,Mbeya Urban
2011,Nov,20.07644664,Rungwe
2011,Nov,21.33832245,Tunduma
2011,Nov,25.54889376,Administrative unit not available
2011,Dec,21.64432033,Mbarali
2011,Dec,18.80825736,Mbeya Rural
2011,Dec,20.13628675,Mbozi
2011,Dec,21.62288397,Momba
2011,Dec,21.01438747,Chunya
2011,Dec,19.72111944,Ileje
2011,Dec,23.1244647,Kyela
2011,Dec,17.96458832,Mbeya Urban
2011,Dec,19.85223271,Rungwe
2011,Dec,19.63004167,Tunduma
2011,Dec,24.22123359,Administrative unit not available
2012,Jan,21.58418127,Mbarali
2012,Jan,19.16873971,Mbeya Rural
2012,Jan,20.23197373,Mbozi
2012,Jan,21.48037031,Momba
2012,Jan,21.2738229,Chunya
2012,Jan,20.0274108,Ileje
2012,Jan,23.73675488,Kyela
2012,Jan,18.36516398,Mbeya Urban
2012,Jan,20.5052416,Rungwe
2012,Jan,19.53760661,Tunduma
2012,Jan,24.62050847,Administrative unit not available
2012,Feb,22.49350937,Mbarali
2012,Feb,19.02516763,Mbeya Rural
2012,Feb,20.27182038,Mbozi
2012,Feb,21.70134682,Momba
2012,Feb,21.59786778,Chunya
2012,Feb,19.52571815,Ileje
2012,Feb,22.84756244,Kyela
2012,Feb,18.06276333,Mbeya Urban
2012,Feb,19.78002336,Rungwe
2012,Feb,19.39243989,Tunduma
2012,Feb,24.87358495,Administrative unit not available
2012,Mar,21.82381333,Mbarali
2012,Mar,19.01119803,Mbeya Rural
2012,Mar,20.29595635,Mbozi
2012,Mar,21.69995756,Momba
2012,Mar,21.53680561,Chunya
2012,Mar,19.39634486,Ileje
2012,Mar,22.75579656,Kyela
2012,Mar,18.09700295,Mbeya Urban
2012,Mar,19.69916417,Rungwe
2012,Mar,19.42435148,Tunduma
2012,Mar,25.22928842,Administrative unit not available
2012,Apr,21.56768873,Mbarali
2012,Apr,17.91778131,Mbeya Rural
2012,Apr,19.30419353,Mbozi
2012,Apr,21.01797032,Momba
2012,Apr,21.02633704,Chunya
2012,Apr,17.51916465,Ileje
2012,Apr,20.67710244,Kyela
2012,Apr,17.02207654,Mbeya Urban
2012,Apr,17.55216483,Rungwe
2012,Apr,18.05237863,Tunduma
2012,Apr,24.51171701,Administrative unit not available
2012,May,21.66672071,Mbarali
2012,May,17.62692857,Mbeya Rural
2012,May,19.19912129,Mbozi
2012,May,21.24786083,Momba
2012,May,21.70435943,Chunya
2012,May,16.84450971,Ileje
2012,May,19.85140606,Kyela
2012,May,16.7163178,Mbeya Urban
2012,May,16.71706183,Rungwe
2012,May,18.0650655,Tunduma
2012,May,24.62081197,Administrative unit not available
2012,Jun,20.5158909,Mbarali
2012,Jun,16.52281967,Mbeya Rural
2012,Jun,18.26364757,Mbozi
2012,Jun,20.07087449,Momba
2012,Jun,20.80363249,Chunya
2012,Jun,15.31744107,Ileje
2012,Jun,18.29164414,Kyela
2012,Jun,15.72169317,Mbeya Urban
2012,Jun,15.21658856,Rungwe
2012,Jun,16.84221248,Tunduma
2012,Jun,23.29903116,Administrative unit not available
